song_id,title,release,artist_name,year
1,"Silent Night","Monster Ballads X-Mas","Faster Pussy cat",2003
2,"Tanssi vaan","Karkuteillä",Karkkiautomaatti,1995
3,"No One Could Ever",Butter,"Hudson Mohawke",2006
4,"Si Vos Querés","De Culo","Yerba Brava",2003
5,"Tangle Of Aspens","Rene Ablaze Presents Winter Sessions","Der Mystic",0
6,"Symphony No. 1 G minor ""Sinfonie Serieuse""/Allegro con energia","Berwald: Symphonies Nos. 1/2/3/4","David Montgomery",0
7,"We Have Got Love","Strictly The Best Vol. 34","Sasha / Turbulence",0
8,"2 Da Beat Ch'yall","Da Bomb","Kris Kross",1993
9,Goodbye,"Danny Boy","Joseph Locke",0
10,"Mama_ mama can't you see ?","March to cadence with the US marines","The Sun Harbor's Chorus-Documentary Recordings",0
11,"L'antarctique","Des cobras des tarentules","3 Gars Su'l Sofa",2007
12,"El hijo del pueblo","32 Grandes Éxitos  CD 2","Jorge Negrete",1997
13,"Cold Beer feat. Prince Metropolitan","International Hardcore Superstar","Danny Diablo",0
14,Pilots,"The Loyal","Tiger Lou",2005
15,"N Gana","Afropea 3 - Telling Stories To The Sea","Waldemar Bastos",0
16,006,"Lena 20 År","Lena Philipsson",1998
17,"(Looking For) The Heart Of Saturday","Cover Girl","Shawn Colvin",1994
18,"Ethos of Coercion","Descend Into Depravity","Dying Fetus",2009
19,Rock-N-Rule,"I'm Only A Man (Bonus Track Version)",Emery,2007
20,"La bola extra","La bola extra","Los Ronaldos",0
21,"I Made It Over","Let's Celebrate (He Is Risen)","Rev. Timothy Wright",0
22,"Debussy : 12 Etudes : VI Pour les huit doigts","Debussy : 12 Etudes_ Images Sets 1 & 2","Pierre-Laurent Aimard",0
23,Nervous,"Let No One Live Rent Free In Your Head",Nicolette,1996
24,"In The Journey","In The Journey","Martin Sexton",2001
25,"Fuckin Ethic People (999)","Crazeë Musick",Craze,0
26,"Tu Vida Con La Mía","Hoy Quiero Soñar","Christian Castro",0
27,"I'm Ready","Honkin' On Bobo",Aerosmith,2004
28,"Take As Needed","Nerve Damage",Skinlab,2002
29,"Autumn In The Mind (Acoustic Version)","Lo Fi_ Acoustic Excursions","Mike Badger and Friends",0
30,Tequila,"Tequila il mambo del giubileo (12 Inc)",Piotta,0
31,"All For A Purpose (Speak Life Album Version)","Speak Life","Sev Statik",0
32,"C On","C On","The Advent",0
33,"Raspberry Beret (LP Version)","The Hits/The B-Sides","Prince & The Revolution",0
34,"All of the same blood","Violent revolution",Kreator,2001
35,"One Little Too Little","Hall Of Fame","Hall Of Fame",1996
36,"Cockleshell Heroes","Classic Years","Frank Chacksfield",2007
37,Trancesequence,Voyage,Voyage,0
38,"Wonderful Stash","TRANCE VISIONARY","Wishbone Ash",1998
39,"La filo","Le meilleur",Malavoi,0
40,"Throw It Away","Easy Listening","Cobra Verde",2003
41,"Before He Kissed Me","Lisa Brokop","Lisa Brokop",0
42,Blessed,Rejoice,"The Emotions",1977
43,"Goa Amsterdam","B.P.M. - Bionic Pulse Method Vol. 3","Safi Connection",0
44,"Disaster [Demo Version]","Fragile Future","Hawthorne Heights",2008
45,"Night And Day","The Best Of","The Maytals",1994
46,Passione,"Alla Fine Della Notte",Neffa,2007
47,"My Everything [Screwed] (feat. Trae The Truth)","[Screwed] Tha Flood - Swishahouse Mix","Lil O",0
48,Scream,"Devil's Playground","Billy Idol",2005
49,"The Man Delusion","The Man Delusion","The Vichy Government",0
50,"He Is Not Silent (Out Of The Grey Album Version)","The Early Years","Out Of The Grey",0
51,"Pepe El Mañoso","Salsa Cubana Vol.6","Orquesta Sonara La Habana",0
52,"Acércate Más","Éxitos Del Romántico De Siempre","Leo Marini",0
53,"Mule Boogie","Country & Western","Sheb Wooley",1993
54,"Dancing In The Dark","The Look Of Love","Diana Krall",2001
55,"Mad About You","Change of Heart","Clifford T. Ward",2003
56,Heartaches,"Just Kiddin' Around","Ray Conniff;Billy Butterfield",0
57,"Pain Over Acceptance",Unforgivable,"Weekend Nachos",0
58,"Ships That Don't Come In","The Ultimate Hits","Joe Diffie",1992
